iter	Passed	Remaining
0	21	4332
1	42	4219
2	64	4215
3	87	4263
4	109	4269
5	131	4246
6	154	4247
7	176	4227
8	197	4198
9	219	4169
10	242	4161
11	264	4142
12	286	4123
13	311	4131
14	333	4115
15	355	4085
16	377	4059
17	399	4042
18	421	4016
19	443	3995
20	466	3979
21	490	3966
22	513	3951
23	547	4015
24	569	3984
25	591	3961
26	612	3923
27	633	3892
28	654	3860
29	675	3827
30	696	3798
31	718	3774
32	752	3808
33	774	3779
34	796	3753
35	816	3720
36	837	3687
37	857	3656
38	879	3629
39	901	3606
40	923	3580
41	944	3552
42	965	3526
43	986	3498
44	1008	3473
45	1030	3448
46	1053	3428
47	1075	3405
48	1097	3382
49	1119	3358
50	1140	3332
51	1162	3308
52	1183	3282
53	1205	3260
54	1228	3238
55	1250	3215
56	1273	3195
57	1294	3169
58	1316	3147
59	1338	3123
60	1360	3099
61	1381	3074
62	1402	3049
63	1423	3025
64	1444	3000
65	1466	2977
66	1488	2955
67	1511	2933
68	1531	2908
69	1555	2888
70	1577	2865
71	1609	2861
72	1631	2838
73	1654	2816
74	1676	2793
75	1697	2770
76	1721	2749
77	1743	2727
78	1765	2703
79	1786	2679
80	1808	2656
81	1830	2634
82	1852	2612
83	1874	2588
84	1895	2564
85	1918	2542
86	1940	2520
87	1963	2498
88	1985	2476
89	2007	2454
90	2029	2430
91	2051	2408
92	2073	2386
93	2096	2364
94	2119	2342
95	2141	2319
96	2161	2295
97	2183	2272
98	2206	2251
99	2230	2230
100	2251	2207
101	2274	2185
102	2297	2164
103	2321	2143
104	2344	2121
105	2367	2099
106	2388	2076
107	2411	2054
108	2433	2031
109	2455	2009
110	2479	1987
111	2501	1965
112	2524	1943
113	2545	1920
114	2566	1897
115	2587	1873
116	2611	1852
117	2634	1830
118	2670	1817
119	2693	1795
120	2718	1774
121	2740	1752
122	2763	1729
123	2786	1707
124	2807	1684
125	2829	1661
126	2851	1639
127	2872	1615
128	2895	1593
129	2918	1571
130	2940	1549
131	2961	1525
132	2982	1502
133	3004	1479
134	3024	1456
135	3046	1433
136	3067	1410
137	3089	1387
138	3112	1365
139	3133	1342
140	3155	1320
141	3177	1297
142	3200	1275
143	3222	1253
144	3243	1230
145	3264	1207
146	3286	1185
147	3308	1162
148	3330	1139
149	3352	1117
150	3374	1094
151	3396	1072
152	3420	1050
153	3442	1028
154	3464	1005
155	3487	983
156	3509	961
157	3531	938
158	3553	916
159	3575	893
160	3596	871
161	3618	848
162	3641	826
163	3663	804
164	3686	782
165	3708	759
166	3729	736
167	3763	716
168	3785	694
169	3807	671
170	3830	649
171	3852	627
172	3874	604
173	3895	582
174	3916	559
175	3939	537
176	3961	514
177	3982	492
178	4005	469
179	4027	447
180	4049	425
181	4071	402
182	4093	380
183	4115	357
184	4137	335
185	4162	313
186	4184	290
187	4206	268
188	4229	246
189	4250	223
190	4272	201
191	4294	178
192	4316	156
193	4339	134
194	4360	111
195	4381	89
196	4402	67
197	4423	44
198	4444	22
199	4466	0
