iter	Passed	Remaining
0	25	5073
1	46	4569
2	68	4471
3	90	4431
4	112	4374
5	133	4313
6	154	4273
7	176	4246
8	197	4201
9	220	4193
10	243	4188
11	266	4171
12	289	4157
13	311	4138
14	332	4099
15	353	4068
16	374	4035
17	396	4009
18	417	3976
19	440	3968
20	463	3950
21	485	3932
22	506	3899
23	527	3871
24	548	3838
25	569	3810
26	590	3781
27	611	3755
28	633	3732
29	654	3706
30	674	3679
31	695	3652
32	718	3634
33	739	3609
34	760	3583
35	782	3564
36	804	3542
37	825	3519
38	846	3495
39	867	3471
40	888	3444
41	909	3421
42	930	3396
43	951	3374
44	973	3353
45	995	3332
46	1017	3313
47	1039	3291
48	1059	3265
49	1081	3243
50	1102	3220
51	1124	3200
52	1145	3178
53	1166	3152
54	1186	3129
55	1207	3105
56	1229	3084
57	1250	3061
58	1273	3042
59	1293	3018
60	1315	2997
61	1336	2975
62	1358	2953
63	1380	2934
64	1403	2915
65	1424	2892
66	1445	2868
67	1465	2845
68	1486	2822
69	1507	2798
70	1528	2778
71	1550	2755
72	1572	2735
73	1593	2713
74	1614	2691
75	1635	2668
76	1656	2646
77	1679	2626
78	1699	2602
79	1720	2580
80	1741	2558
81	1762	2535
82	1783	2513
83	1803	2490
84	1823	2467
85	1845	2446
86	1866	2423
87	1888	2403
88	1909	2381
89	1931	2360
90	1950	2336
91	1971	2314
92	1992	2293
93	2015	2272
94	2038	2252
95	2063	2235
96	2085	2214
97	2106	2192
98	2127	2170
99	2151	2151
100	2172	2129
101	2193	2107
102	2213	2084
103	2234	2062
104	2256	2041
105	2276	2019
106	2298	1997
107	2320	1976
108	2340	1954
109	2361	1932
110	2383	1910
111	2404	1889
112	2425	1867
113	2447	1846
114	2467	1823
115	2488	1802
116	2509	1780
117	2530	1758
118	2550	1735
119	2571	1714
120	2593	1693
121	2614	1671
122	2637	1650
123	2657	1629
124	2678	1607
125	2700	1585
126	2722	1564
127	2744	1543
128	2764	1521
129	2786	1500
130	2808	1479
131	2828	1457
132	2850	1435
133	2870	1413
134	2891	1392
135	2913	1371
136	2936	1350
137	2956	1328
138	2978	1307
139	2998	1284
140	3018	1263
141	3039	1241
142	3061	1220
143	3082	1198
144	3105	1177
145	3132	1158
146	3153	1137
147	3174	1115
148	3194	1093
149	3214	1071
150	3235	1049
151	3256	1028
152	3279	1007
153	3301	986
154	3323	964
155	3344	943
156	3366	921
157	3386	900
158	3408	878
159	3429	857
160	3449	835
161	3472	814
162	3494	793
163	3514	771
164	3535	749
165	3555	728
166	3579	707
167	3601	686
168	3623	664
169	3646	643
170	3667	621
171	3688	600
172	3713	579
173	3733	557
174	3754	536
175	3775	514
176	3796	493
177	3816	471
178	3838	450
179	3859	428
180	3880	407
181	3900	385
182	3921	364
183	3942	342
184	3963	321
185	3984	299
186	4004	278
187	4025	256
188	4047	235
189	4068	214
190	4089	192
191	4110	171
192	4142	150
193	4163	128
194	4184	107
195	4205	85
196	4227	64
197	4247	42
198	4268	21
199	4290	0
